jeu_100_75_2.txt_3_currentGA	jeu_100_75_2.txt_3_bestGA	
544	32235	40803	
545	30129	40803	
546	-19.3333	40803	
547	29281	40803	
548	-15.3333	40803	
549	32923	40803	
550	-32.3333	40803	
551	32158	40803	
552	30803	40803	
553	32996	40803	
554	28402	40803	
555	34864	40803	
556	35825	40803	
557	-79.3333	40803	
558	-148.333	40803	
559	33932	40803	
560	33158	40803	
561	29040	40803	
562	-36.3333	40803	
563	34528	40803	
564	-0.333333	40803	
565	37149	40803	
566	-42.3333	40803	
567	-24.3333	40803	
568	22387	40803	
569	30710	40803	
570	-47.3333	40803	
571	25479	40803	
572	-27.3333	40803	
573	34211	40803	
574	-47.3333	40803	
575	34882	40803	
576	-16.3333	40803	
577	33931	40803	
578	29227	40803	
579	-27.3333	40803	
580	-7.33333	40803	
581	-87.3333	40803	
582	33218	40803	
583	30617	40803	
584	27983	40803	
585	35264	40803	
586	28019	40803	
587	28833	40803	
588	-94.3333	40803	
589	-3.33333	40803	
590	27997	40803	
591	36429	40803	
592	32852	40803	
593	30651	40803	
594	-8.33333	40803	
595	31108	40803	
596	-2.33333	40803	
597	30258	40803	
598	32742	40803	
599	33695	40803	
600	38901	40803	
601	29650	40803	
602	35010	40803	
603	31589	40803	
604	33395	40803	
605	38097	40803	
606	-23.3333	40803	
607	32567	40803	
608	-69.3333	40803	
609	35697	40803	
610	-10.3333	40803	
611	32123	40803	
612	23905	40803	
613	41810	41810	
614	26558	41810	
615	-21.3333	41810	
616	-44.3333	41810	
617	33268	41810	
618	34694	41810	
619	30111	41810	
620	-4.33333	41810	
621	32562	41810	
622	34882	41810	
623	29052	41810	
624	-168.333	41810	
625	-27.3333	41810	
626	31549	41810	
627	36773	41810	
628	-150.333	41810	
629	39640	41810	
630	-53.3333	41810	
631	-117.333	41810	
632	-36.3333	41810	
633	35494	41810	
634	-24.3333	41810	
635	33158	41810	
636	-58.3333	41810	
637	31377	41810	
638	29367	41810	
639	28223	41810	
640	36230	41810	
641	35909	41810	
642	-55.3333	41810	
643	-25.3333	41810	
644	-19.3333	41810	
645	32343	41810	
646	27382	41810	
647	37173	41810	
648	35169	41810	
649	28545	41810	
650	31858	41810	
651	-45.3333	41810	
652	-48.3333	41810	
653	29126	41810	
654	35033	41810	
655	-4.33333	41810	
656	29334	41810	
657	36017	41810	
658	23909	41810	
659	-90.3333	41810	
660	32161	41810	
661	30293	41810	
662	-34.3333	41810	
663	30997	41810	
664	-55.3333	41810	
665	31642	41810	
666	41601	41810	
667	-44.3333	41810	
668	29334	41810	
669	32844	41810	
670	35066	41810	
671	-16.3333	41810	
672	30428	41810	
673	32434	41810	
674	34885	41810	
675	36193	41810	
676	37396	41810	
677	35885	41810	
678	30205	41810	
679	-62.3333	41810	
680	26680	41810	
681	-2.33333	41810	
682	32585	41810	
683	30678	41810	
684	34522	41810	
685	23155	41810	
686	-16.3333	41810	
687	34852	41810	
688	-15.3333	41810	
689	30965	41810	
690	-195.333	41810	
691	26649	41810	
692	32668	41810	
693	28075	41810	
694	-28.3333	41810	
695	32669	41810	
696	31995	41810	
697	30084	41810	
698	35493	41810	
699	-27.3333	41810	
700	33667	41810	
701	31423	41810	
702	32656	41810	
703	32994	41810	
704	25779	41810	
705	-51.3333	41810	
706	-13.3333	41810	
707	-7.33333	41810	
708	-28.3333	41810	
709	34100	41810	
710	28188	41810	
711	33678	41810	
712	28341	41810	
713	34803	41810	
714	-15.3333	41810	
715	-49.3333	41810	
716	28619	41810	
717	-32.3333	41810	
718	-79.3333	41810	
719	-6.33333	41810	
720	28399	41810	
721	-6.33333	41810	
722	31578	41810	
723	27689	41810	
724	-49.3333	41810	
725	32751	41810	
726	33895	41810	
727	-79.3333	41810	
728	-29.3333	41810	
729	37857	41810	
730	36341	41810	
731	-39.3333	41810	
732	26544	41810	
733	33411	41810	
734	32714	41810	
735	32971	41810	
736	-11.3333	41810	
737	-16.3333	41810	
738	35097	41810	
739	35276	41810	
740	30419	41810	
741	32883	41810	
742	36902	41810	
743	-65.3333	41810	
744	34257	41810	
745	34640	41810	
746	-1.33333	41810	
747	31827	41810	
748	36120	41810	
749	-1.33333	41810	
750	-36.3333	41810	
751	34105	41810	
752	25780	41810	
753	-44.3333	41810	
754	33212	41810	
755	33210	41810	
756	23008	41810	
757	32429	41810	
758	32191	41810	
759	27373	41810	
760	-49.3333	41810	
761	34248	41810	
762	32195	41810	
763	-40.3333	41810	
764	-44.3333	41810	
765	29760	41810	
766	34896	41810	
767	33581	41810	
768	-92.3333	41810	
769	-22.3333	41810	
770	31886	41810	
771	26212	41810	
772	33568	41810	
773	33571	41810	
774	33217	41810	
775	34460	41810	
776	-23.3333	41810	
777	26638	41810	
778	27286	41810	
779	-16.3333	41810	
780	-13.3333	41810	
781	26664	41810	
782	31359	41810	
783	-64.3333	41810	
784	-82.3333	41810	
785	-127.333	41810	
786	36596	41810	
787	32853	41810	
788	28746	41810	
789	33847	41810	
790	30347	41810	
791	33892	41810	
792	36656	41810	
793	32551	41810	
794	36584	41810	
795	-79.3333	41810	
796	-21.3333	41810	
797	35701	41810	
798	22857	41810	
799	-42.3333	41810	
800	34803	41810	
801	31776	41810	
802	-65.3333	41810	
803	-88.3333	41810	
804	37520	41810	
805	27711	41810	
806	31827	41810	
807	33973	41810	
808	25286	41810	
809	35193	41810	
810	34379	41810	
811	29568	41810	
812	34391	41810	
813	-17.3333	41810	
814	34837	41810	
815	33059	41810	
816	37746	41810	
817	32813	41810	
818	32794	41810	
819	32504	41810	
820	28522	41810	
821	-29.3333	41810	
822	-16.3333	41810	
823	32542	41810	
824	-18.3333	41810	
825	-9.33333	41810	
826	30037	41810	
827	32292	41810	
828	25270	41810	
829	28721	41810	
830	38710	41810	
831	-5.33333	41810	
832	-9.33333	41810	
833	30226	41810	
834	31755	41810	
835	32130	41810	
836	27644	41810	
837	31963	41810	
838	32390	41810	
839	35325	41810	
840	32261	41810	
841	30795	41810	
842	-8.33333	41810	
843	27537	41810	
844	35909	41810	
845	-42.3333	41810	
846	31935	41810	
847	-83.3333	41810	
848	36596	41810	
849	36480	41810	
850	33067	41810	
851	37839	41810	
852	-29.3333	41810	
853	29379	41810	
854	38664	41810	
855	36457	41810	
856	33523	41810	
857	-43.3333	41810	
858	-19.3333	41810	
859	31339	41810	
860	-58.3333	41810	
861	39447	41810	
862	35235	41810	
863	33791	41810	
864	-1.33333	41810	
865	-115.333	41810	
866	32113	41810	
867	-62.3333	41810	
868	28876	41810	
869	-54.3333	41810	
870	33375	41810	
871	-43.3333	41810	
872	32908	41810	
873	-83.3333	41810	
874	-0.333333	41810	
875	-116.333	41810	
876	-17.3333	41810	
877	34921	41810	
878	36420	41810	
879	-66.3333	41810	
880	-73.3333	41810	
881	31577	41810	
882	30708	41810	
883	37756	41810	
884	34220	41810	
885	37044	41810	
886	30087	41810	
887	29881	41810	
888	36745	41810	
889	37952	41810	
890	28170	41810	
891	30810	41810	
892	35757	41810	
893	-36.3333	41810	
894	37520	41810	
895	-5.33333	41810	
896	34358	41810	
897	-33.3333	41810	
898	-40.3333	41810	
899	40949	41810	
900	-49.3333	41810	
901	34896	41810	
902	26317	41810	
903	-25.3333	41810	
904	32908	41810	
905	29421	41810	
906	34442	41810	
907	38425	41810	
908	-13.3333	41810	
909	34184	41810	
910	33663	41810	
911	39479	41810	
912	31935	41810	
913	-17.3333	41810	
914	32629	41810	
915	-129.333	41810	
916	-54.3333	41810	
917	36343	41810	
918	34361	41810	
919	36735	41810	
920	30653	41810	
921	33557	41810	
922	38583	41810	
923	-56.3333	41810	
924	-18.3333	41810	
925	37406	41810	
926	36095	41810	
927	-0.333333	41810	
928	-15.3333	41810	
929	-14.3333	41810	
930	-23.3333	41810	
931	36420	41810	
