jeu_100_75_2.txt_5_bestGAPerIt	jeu_100_75_2.txt_5_popMeanGA	jeu_100_75_2.txt_5_offMeanGA	
87	31446	23222.7	19798.9	
88	31507	19798.9	21417.4	
89	31939	21417.4	22974.1	
90	31939	22974.1	23997.1	
91	31939	23997.1	23571.6	
92	31939	23571.6	22615.7	
93	31939	23148.7	24305.1	
94	31939	24838.1	23364.7	
95	32113	23364.7	22432.8	
96	32113	22968.8	25105.2	
97	32113	25641.2	25248.1	
98	32115	25248.1	27432.2	
99	32115	27967.9	27568.5	
100	32188	27568.5	26476.7	
101	32188	27014.3	24405.3	
102	32188	24942.5	28146.8	
103	32188	28146.8	26642.1	
104	32445	26642.1	28238.1	
105	32536	28238.1	28294.7	
106	32536	28294.7	27222.5	
107	32536	27765.4	27300	
108	32813	27300	25264.3	
109	32813	25264.3	27445.9	
110	33017	27445.9	28728.5	
111	33270	28728.5	26643.8	
112	33270	27199	27297.4	
113	33270	27297.4	27373.4	
114	33571	27373.4	29098.9	
115	33571	29098.9	28106.8	
116	33571	28106.8	26540.5	
117	33571	26540.5	27740.8	
118	33571	27740.8	26161.2	
119	34206	26161.2	25104.4	
120	34206	25104.4	26213.7	
121	34206	26213.7	27322	
122	34206	27322	26815.1	
123	34206	26815.1	29047.1	
124	34206	29047.1	30748.6	
125	34206	30748.6	30235.6	
126	34206	30235.6	26947.6	
127	34617	26947.6	27039.5	
128	34617	27039.5	29397.7	
129	34617	29397.7	28363.9	
130	34617	28363.9	29059.5	
131	34617	29059.5	30291.8	
132	34617	30291.8	27031	
133	34617	27031	27609.8	
134	34617	27609.8	25313.4	
135	34617	25313.4	29949	
136	34681	29949	28760.1	
137	34681	28760.1	29354.8	
138	35171	29354.8	29959.4	
139	35171	30546.4	31128.8	
140	35171	31128.8	25983.6	
141	35171	25983.6	30037.7	
142	35171	30037.7	28962.9	
143	35171	28962.9	27264.7	
144	35171	27264.7	29596.7	
145	35171	29596.7	27950.7	
146	35171	27950.7	28006.9	
147	35171	28006.9	28665.8	
148	35171	28665.8	28634.4	
149	35171	28634.4	28123.5	
150	35171	28123.5	29872.2	
151	35171	29872.2	29281	
152	35171	29281	26917.6	
153	35171	26917.6	30431.5	
154	35171	30431.5	29870.4	
155	35171	29870.4	29878.9	
156	35171	29878.9	29233.9	
157	35171	29233.9	26371.4	
158	35171	26371.4	30467.9	
159	35171	30467.9	30431	
160	35171	30431	28665.6	
161	35171	28665.6	26937.8	
162	35171	26937.8	26358.7	
163	35171	26358.7	25182.4	
164	35171	25182.4	29276.2	
165	35171	29276.2	28696.7	
166	35171	28696.7	26931.4	
167	35171	26931.4	28076.7	
168	35171	28076.7	32177	
169	35171	32177	28694	
170	35171	28694	31025.6	
171	35171	31025.6	30418.2	
172	35171	30418.2	29858.2	
173	35171	29858.2	30414.7	
174	35171	30414.7	29240.5	
175	35171	29240.5	28122	
176	35171	28122	28707.9	
177	35171	28707.9	29276.9	
178	35171	29276.9	25169.3	
179	35171	25169.3	23378.1	
180	35171	23378.1	29821.3	
181	35171	29821.3	27484.5	
182	35171	27484.5	28102.8	
183	35171	28102.8	29882.6	
184	35171	29882.6	30454.7	
185	35171	30454.7	28098.5	
186	35171	28098.5	27532.2	
187	35171	27532.2	26359.9	
188	35171	26359.9	27508.3	
189	35171	27508.3	26906	
190	35171	26906	29854.2	
191	35171	29854.2	28038	
192	35171	28038	28637.3	
193	35171	28637.3	27480.9	
194	35171	27480.9	29845.7	
195	35171	29845.7	27502.3	
196	35171	27502.3	26917	
197	35171	26917	27493.5	
198	35171	27493.5	28066	
199	35171	28066	26341.6	
200	35171	26341.6	27523.6	
201	35171	27523.6	28684.3	
202	35171	28684.3	29874.5	
203	35171	29874.5	28122.4	
204	35171	28122.4	28116.7	
205	35171	28116.7	26932.8	
206	35171	26932.8	27498.6	
207	35171	27498.6	30457.7	
208	35171	30457.7	31584.7	
209	35317	31584.7	28667.9	
210	35317	28667.9	29267.4	
211	35317	29267.4	27533.4	
212	35317	27533.4	26382.7	
213	35317	26382.7	26976.2	
214	35317	26976.2	28729.6	
215	35317	28729.6	27560.5	
216	35317	27560.5	28748.5	
217	35317	28748.5	32300	
218	35317	32300	28776	
219	35317	28776	27034.9	
220	35317	27034.9	28197.3	
221	35317	28197.3	29353.2	
222	35317	29353.2	30551.9	
223	35317	30551.9	28224.8	
224	35317	28224.8	29964.5	
225	35317	29964.5	29389.1	
226	35317	29389.1	30526.4	
227	35317	30526.4	31193.2	
228	35317	31193.2	28828.7	
229	35317	28828.7	29935.9	
230	35317	29935.9	30555.8	
231	35317	30555.8	27572.8	
232	35317	27572.8	25847	
233	35317	25847	28221	
234	35317	28221	32944.4	
235	35317	32944.4	31763.5	
236	35317	31763.5	30553.8	
237	35317	30553.8	30557.5	
238	35317	30557.5	30549.7	
239	35317	30549.7	32335.4	
240	35317	32335.4	28801.9	
241	35317	28801.9	29319.6	
242	35317	29319.6	30485.7	
243	35317	30485.7	32302.4	
244	35317	32302.4	29978.1	
245	35317	29978.1	30582.4	
246	35317	30582.4	28238.2	
247	35317	28238.2	29955.1	
248	35317	29955.1	29955.4	
249	35317	29955.4	31178.4	
250	35317	31178.4	27043.3	
251	35317	27043.3	27623.7	
252	35317	27623.7	26462.1	
253	35317	26462.1	28802.1	
254	35317	28802.1	22921.8	
255	35317	22921.8	28761.1	
256	35317	28761.1	29398.6	
257	35317	29398.6	28230.5	
258	35317	28230.5	31166.8	
259	35317	31166.8	29407.3	
260	35317	29407.3	28240.4	
261	35317	28240.4	31775.2	
262	35317	31775.2	28220.6	
263	35317	28220.6	29990.8	
264	35317	29990.8	28812.8	
265	35317	28812.8	28816.4	
