jeu_200_25_8.txt_3_currentACO	jeu_200_25_8.txt_3_bestACO	
194	67327	67719	
195	67037	67719	
196	66837	67719	
197	67719	67719	
198	67593	67719	
199	67593	67719	
200	67540	67719	
201	66701	67719	
202	67719	67719	
203	67593	67719	
204	66141	67719	
205	67401	67719	
206	67719	67719	
207	67719	67719	
208	67593	67719	
209	67513	67719	
210	67401	67719	
211	67719	67719	
212	67719	67719	
213	67223	67719	
214	67411	67719	
215	66286	67719	
216	67719	67719	
217	67719	67719	
218	67531	67719	
219	67267	67719	
220	66193	67719	
221	67641	67719	
222	67097	67719	
223	67531	67719	
224	67112	67719	
225	67340	67719	
226	67719	67719	
227	67401	67719	
228	67719	67719	
229	67719	67719	
230	67353	67719	
231	67186	67719	
232	67719	67719	
233	67719	67719	
234	67719	67719	
235	67719	67719	
236	67719	67719	
237	67719	67719	
238	67719	67719	
239	67719	67719	
240	67593	67719	
241	67719	67719	
242	67719	67719	
243	67719	67719	
244	67719	67719	
245	67593	67719	
246	67719	67719	
247	67719	67719	
248	67199	67719	
249	67719	67719	
250	67719	67719	
251	67719	67719	
252	67719	67719	
253	67452	67719	
254	67719	67719	
255	67719	67719	
256	66545	67719	
257	67719	67719	
258	67719	67719	
259	67719	67719	
260	67719	67719	
261	66873	67719	
262	67719	67719	
263	67719	67719	
264	67719	67719	
265	67719	67719	
266	67327	67719	
267	67292	67719	
268	67719	67719	
269	67719	67719	
270	67719	67719	
271	67299	67719	
272	67719	67719	
273	67719	67719	
274	67719	67719	
275	67719	67719	
276	67327	67719	
277	67593	67719	
278	67719	67719	
279	67231	67719	
280	66756	67719	
281	67719	67719	
282	67719	67719	
283	67023	67719	
284	67719	67719	
285	67186	67719	
286	67719	67719	
287	67719	67719	
288	67219	67719	
289	67719	67719	
290	67719	67719	
291	67719	67719	
292	66384	67719	
293	67719	67719	
294	67719	67719	
295	67719	67719	
296	67719	67719	
297	67719	67719	
298	67719	67719	
299	67719	67719	
300	67719	67719	
301	67719	67719	
302	67719	67719	
303	67719	67719	
304	67719	67719	
305	67719	67719	
306	67719	67719	
307	67719	67719	
308	67719	67719	
309	66871	67719	
310	67719	67719	
311	67719	67719	
312	67719	67719	
313	67719	67719	
314	67719	67719	
315	67719	67719	
316	67200	67719	
317	67719	67719	
318	67719	67719	
319	67719	67719	
320	67719	67719	
321	67719	67719	
322	67719	67719	
323	67186	67719	
324	67719	67719	
325	67719	67719	
326	67719	67719	
327	67199	67719	
328	67719	67719	
329	67719	67719	
330	67719	67719	
331	67505	67719	
332	67719	67719	
333	67719	67719	
334	67104	67719	
335	67719	67719	
336	67719	67719	
337	67719	67719	
338	67719	67719	
339	67719	67719	
340	67231	67719	
341	67719	67719	
342	67719	67719	
343	67316	67719	
344	67719	67719	
345	66904	67719	
346	67719	67719	
347	67719	67719	
348	66311	67719	
349	67719	67719	
350	67719	67719	
351	67719	67719	
352	67719	67719	
353	67719	67719	
354	67719	67719	
355	67719	67719	
356	67719	67719	
357	67719	67719	
358	67719	67719	
359	67719	67719	
360	67719	67719	
361	67719	67719	
362	67719	67719	
363	67719	67719	
364	67719	67719	
365	67719	67719	
366	67719	67719	
367	67175	67719	
368	67719	67719	
369	67719	67719	
370	67719	67719	
371	67719	67719	
372	67719	67719	
373	67719	67719	
374	67719	67719	
375	67719	67719	
376	67719	67719	
377	67719	67719	
378	67719	67719	
379	67719	67719	
380	67860	67860	
381	67719	67860	
382	67719	67860	
383	67719	67860	
384	67719	67860	
385	67442	67860	
386	67719	67860	
