jeu_200_25_8.txt_5_currentSA	jeu_200_25_8.txt_5_bestSA	jeu_200_25_8.txt_5_currentTS	jeu_200_25_8.txt_5_bestTS	jeu_200_25_8.txt_5_currentGrasp	jeu_200_25_8.txt_5_bestGrasp	jeu_200_25_8.txt_5_currentIG	jeu_200_25_8.txt_5_bestIG	
146	-227.84	-176.84	52167	52711	61645	61645	64305	64305	
147	-227.84	-176.84	52167	52711	61739	61739	64564	64564	
148	-227.84	-176.84	52167	52711	61824	61824	64837	64837	
149	-230.84	-176.84	52167	52711	61967	61967	65028	65028	
150	-267.84	-176.84	52167	52711	62106	62106	65328	65328	
151	-267.84	-176.84	52167	52711	62280	62280	65591	65591	
152	-261.84	-176.84	52167	52711	62421	62421	65837	65837	
153	-261.84	-176.84	52167	52711	62608	62608	66153	66153	
154	-261.84	-176.84	52167	52711	62816	62816	66454	66454	
155	-252.84	-176.84	52167	52711	63064	63064	66735	66735	
156	-252.84	-176.84	52167	52711	63219	63219	66899	66899	
157	-252.84	-176.84	52167	52711	63464	63464	66963	66963	
158	-252.84	-176.84	52167	52711	63743	63743	67050	67050	
159	-256.84	-176.84	52167	52711	63990	63990	67178	67178	
160	-216.84	-176.84	52167	52711	64234	64234	67332	67332	
161	-216.84	-176.84	52167	52711	64550	64550	67549	67549	
162	-216.84	-176.84	52167	52711	64884	64884	67737	67737	
163	-216.84	-176.84	52167	52711	65205	65205	67868	67868	
164	-216.84	-176.84	52167	52711	65580	65580	68042	68042	
165	-216.84	-176.84	52167	52711	65709	65709	68224	68224	
166	-259.84	-176.84	52167	52711	66075	66075	68371	68371	
167	-259.84	-176.84	52167	52711	66364	66364	68554	68554	
168	-259.84	-176.84	52167	52711	66416	66416	68791	68791	
169	-259.84	-176.84	52167	52711	66515	66515	69035	69035	
170	-234.84	-176.84	52167	52711	66578	66578	69225	69225	
171	-234.84	-176.84	52167	52711	66722	66722	69479	69479	
172	-234.84	-176.84	52167	52711	66846	66846	69679	69679	
173	-196.84	-176.84	52167	52711	67027	67027	69959	69959	
174	-196.84	-176.84	52167	52711	67234	67234	70292	70292	
175	-196.84	-176.84	52167	52711	67315	67315	70604	70604	
176	-189.84	-176.84	52167	52711	67488	67488	70912	70912	
177	-189.84	-176.84	52167	52711	67692	67692	5217	70912	
178	-189.84	-176.84	52167	52711	67872	67872	5837	70912	
179	-189.84	-176.84	52167	52711	67899	67899	6131	70912	
180	-189.84	-176.84	52167	52711	68083	68083	6647	70912	
181	-189.84	-176.84	52167	52711	68328	68328	7105	70912	
182	-189.84	-176.84	52167	52711	68417	68417	7621	70912	
183	-189.84	-176.84	52167	52711	68771	68771	8100	70912	
184	-189.84	-176.84	52167	52711	68991	68991	8663	70912	
185	-189.84	-176.84	52167	52711	69230	69230	9255	70912	
186	-189.84	-176.84	52167	52711	69368	69368	9834	70912	
187	-189.84	-176.84	52167	52711	69368	69368	10265	70912	
